MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1009110024030,12.85,0.05,311.04060,-10.72355,55480.09993,0
1009110024030,12.99,0.05,311.04061,-10.72352,55679.45911,0
1009110024030,12.95,0.05,311.04061,-10.72352,55679.46602,0
1009110024030,13.00,0.05,311.04061,-10.72350,55679.47287,0
1009110024030,13.00,0.05,311.04061,-10.72351,55679.47985,0
1009110024030,12.89,0.05,311.04062,-10.72354,55745.32287,0
1009110024030,12.89,0.05,311.04064,-10.72354,55745.32919,0
1009110024030,12.89,0.05,311.04063,-10.72350,55745.33554,0
1009110024030,12.87,0.05,311.04062,-10.72353,55745.34197,0
1009110024030,12.85,0.05,311.04061,-10.72349,55718.36159,0
1009110024030,12.89,0.05,311.04063,-10.72351,55718.37099,0
1009110024030,12.87,0.05,311.04062,-10.72351,55718.38032,0
1009110024030,12.87,0.05,311.04062,-10.72353,55718.38965,0
1009110024030,12.91,0.05,311.04060,-10.72350,55733.37964,0
1009110024030,12.92,0.05,311.04063,-10.72353,55733.38424,0
1009110024030,12.93,0.05,311.04061,-10.72351,55733.38888,0
1009110024030,12.91,0.05,311.04064,-10.72352,55733.39354,0
1009110024030,12.83,0.05,311.04060,-10.72352,55694.41505,0
1009110024030,12.83,0.05,311.04062,-10.72353,55694.42372,0
1009110024030,12.85,0.05,311.04063,-10.72353,55694.43211,0
1009110024030,12.83,0.05,311.04062,-10.72353,55694.44044,0
1009110024030,12.91,0.05,311.04064,-10.72353,55706.41953,0
1009110024030,12.91,0.05,311.04061,-10.72352,55706.42950,0
1009110024030,12.84,0.05,311.04062,-10.72354,55706.43885,0
1009110024030,12.88,0.05,311.04062,-10.72354,55706.44821,0
1009110024030,12.95,0.05,311.04060,-10.72350,55823.13735,0
1009110024030,12.93,0.05,311.04060,-10.72352,55823.14423,0
1009110024030,12.94,0.05,311.04059,-10.72352,55823.15112,0
1009110024030,12.95,0.05,311.04062,-10.72352,55823.15798,0
1009110024030,12.92,0.05,311.04060,-10.72353,55834.12063,0
1009110024030,12.91,0.05,311.04058,-10.72360,55834.12854,0
1009110024030,12.91,0.05,311.04056,-10.72360,55834.13652,0
1009110024030,12.92,0.05,311.04059,-10.72350,55834.14454,0
1009110024030,12.92,0.05,311.04065,-10.72351,55850.16003,0
1009110024030,12.94,0.05,311.04065,-10.72352,55850.16808,0
1009110024030,12.93,0.05,311.04065,-10.72349,55850.17599,0
1009110024030,12.91,0.05,311.04062,-10.72350,55850.18458,0
1009110024030,13.01,0.05,311.04062,-10.72353,56045.45844,0
1009110024030,13.02,0.05,311.04061,-10.72353,56045.46477,0
1009110024030,13.02,0.05,311.04061,-10.72350,56045.47122,0
1009110024030,13.02,0.05,311.04061,-10.72351,56045.47763,0
1009110024030,13.03,0.05,311.04062,-10.72353,56061.45099,0
1009110024030,13.05,0.05,311.04060,-10.72352,56061.45592,0
1009110024030,13.05,0.05,311.04062,-10.72350,56061.46053,0
1009110024030,13.04,0.05,311.04062,-10.72351,56061.46520,0
1009110024030,13.04,0.05,311.04061,-10.72351,56067.41438,0
1009110024030,13.03,0.05,311.04063,-10.72353,56067.42109,0
1009110024030,13.02,0.05,311.04062,-10.72351,56067.42795,0
1009110024030,13.03,0.05,311.04063,-10.72349,56067.43482,0
1009110024030,13.06,0.05,311.04059,-10.72349,56126.25572,0
1009110024030,13.05,0.05,311.04061,-10.72351,56126.26380,0
1009110024030,13.06,0.05,311.04061,-10.72352,56126.27238,0
1009110024030,13.04,0.05,311.04063,-10.72354,56126.28048,0
1009110024030,12.82,0.05,311.04064,-10.72354,56151.23866,0
1009110024030,12.88,0.05,311.04067,-10.72352,56151.24903,0
1009110024030,13.04,0.05,311.04065,-10.72353,56151.25425,0
1009110024030,12.92,0.05,311.04062,-10.72360,56152.24099,0
1009110024030,13.01,0.05,311.04063,-10.72364,56152.24606,0
1009110024030,12.90,0.05,311.04060,-10.72362,56152.25116,0
1009110024030,12.90,0.05,311.04060,-10.72361,56152.25629,0
1009110024030,12.97,0.05,311.04062,-10.72354,56164.24355,0
1009110024030,12.94,0.05,311.04060,-10.72353,56164.25003,0
1009110024030,13.00,0.05,311.04064,-10.72350,56164.25654,0
1009110024030,12.95,0.05,311.04061,-10.72350,56164.26315,0
1009110024030,13.00,0.05,311.04065,-10.72352,56185.20187,0
1009110024030,12.99,0.05,311.04066,-10.72356,56185.21013,0
1009110024030,13.01,0.05,311.04063,-10.72353,56185.21848,0
1009110024030,13.05,0.05,311.04062,-10.72353,56185.22670,0
1009110024030,13.02,0.05,311.04064,-10.72358,56204.09007,0
1009110024030,13.03,0.05,311.04062,-10.72354,56204.09733,0
1009110024030,13.02,0.05,311.04061,-10.72356,56204.10467,0
1009110024030,13.02,0.05,311.04060,-10.72352,56204.11205,0
1009110024030,13.03,0.05,311.04065,-10.72350,56211.15658,0
1009110024030,13.04,0.05,311.04063,-10.72350,56211.16388,0
1009110024030,13.02,0.05,311.04063,-10.72353,56211.17162,0
1009110024030,13.03,0.05,311.04064,-10.72354,56211.17891,0
1009110024030,13.04,0.05,311.04060,-10.72350,56253.10026,0
1009110024030,13.07,0.05,311.04064,-10.72350,56253.10527,0
1009110024030,13.06,0.05,311.04069,-10.72351,56253.11036,0
1009110024030,13.05,0.05,311.04066,-10.72349,56253.11538,0
1009110024030,12.95,0.05,311.04061,-10.72351,56422.44206,0
1009110024030,12.85,0.05,311.04056,-10.72354,56422.44667,0
1009110024030,12.97,0.05,311.04062,-10.72350,56422.45126,0
1009110024030,12.96,0.05,311.04064,-10.72352,56422.45587,0
1009110024030,13.03,0.05,311.04060,-10.72352,56444.41568,0
1009110024030,13.03,0.05,311.04061,-10.72353,56444.42416,0
1009110024030,13.05,0.05,311.04062,-10.72353,56444.43263,0
1009110024030,13.03,0.05,311.04062,-10.72350,56444.44114,0
1009110024030,13.02,0.05,311.04062,-10.72354,56455.34595,0
1009110024030,13.01,0.05,311.04066,-10.72351,56455.35101,0
1009110024030,13.02,0.05,311.04060,-10.72352,56455.35614,0
1009110024030,12.96,0.05,311.04052,-10.72353,56455.36126,0
1009110024030,13.07,0.05,311.04062,-10.72353,56463.34689,0
1009110024030,13.06,0.05,311.04061,-10.72353,56463.35143,0
1009110024030,13.07,0.05,311.04061,-10.72352,56463.35600,0
1009110024030,13.06,0.05,311.04062,-10.72352,56463.36053,0
1009110024030,13.10,0.05,311.04065,-10.72350,56532.18714,0
1009110024030,13.09,0.05,311.04064,-10.72351,56532.19411,0
1009110024030,13.08,0.05,311.04060,-10.72349,56532.20084,0
1009110024030,13.09,0.05,311.04060,-10.72349,56532.20751,0
1009110024030,13.08,0.05,311.04062,-10.72349,56540.20888,0
1009110024030,13.08,0.05,311.04063,-10.72349,56540.21379,0
1009110024030,13.07,0.05,311.04062,-10.72350,56540.21882,0
1009110024030,13.09,0.05,311.04064,-10.72348,56540.22385,0
1009110024030,13.12,0.05,311.04063,-10.72348,56563.21805,0
1009110024030,13.11,0.05,311.04065,-10.72350,56563.22425,0
1009110024030,13.11,0.05,311.04063,-10.72349,56563.23049,0
1009110024030,13.12,0.05,311.04066,-10.72347,56563.23662,0
1009110024030,13.15,0.05,311.04063,-10.72348,56569.15533,0
1009110024030,13.14,0.05,311.04063,-10.72350,56569.16248,0
1009110024030,13.12,0.05,311.04063,-10.72351,56569.16977,0
1009110024030,13.13,0.05,311.04065,-10.72349,56569.17705,0
1009110024030,13.22,0.05,311.04063,-10.72349,56588.14175,0
